GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS	SEQ_NUMBER
21/11/2022	1610612740	128.0	0.538	0.714	0.357	30.0	50.0	1	53840128071430501
21/11/2022	1610612760	119.0	0.489	0.781	0.333	25.0	38.0	0	48960119078125380
21/11/2022	1610612746	121.0	0.516	0.947	0.375	26.0	41.0	1	51646121094726411
20/11/2022	1610612756	116.0	0.426	0.722	0.436	35.0	60.0	1	42656116072235601
20/11/2022	1610612764	106.0	0.43	0.722	0.382	19.0	49.0	1	43064106072219491
20/11/2022	1610612758	137.0	0.553	0.886	0.343	29.0	41.0	1	55358137088629411
20/11/2022	1610612751	127.0	0.602	0.733	0.471	33.0	45.0	1	60251127073333451
20/11/2022	1610612739	113.0	0.53	0.75	0.351	31.0	49.0	1	53039113075031491
20/11/2022	1610612745	120.0	0.456	0.852	0.333	24.0	45.0	0	45645120085224450
20/11/2022	1610612742	97.0	0.449	0.571	0.357	24.0	36.0	0	44942097057124360
20/11/2022	1610612747	123.0	0.529	0.875	0.353	29.0	54.0	1	52947123087529541
19/11/2022	1610612737	124.0	0.5	0.781	0.28	23.0	50.0	1	50037124078123501
19/11/2022	1610612755	109.0	0.479	0.844	0.438	21.0	39.0	0	47955109084421390
19/11/2022	1610612757	113.0	0.47	0.815	0.31	27.0	43.0	0	47057113081527430
19/11/2022	1610612746	119.0	0.543	0.526	0.525	32.0	35.0	1	54346119052632351
18/11/2022	1610612764	107.0	0.427	0.714	0.326	33.0	54.0	1	42764107071433541
18/11/2022	1610612739	132.0	0.533	0.813	0.286	25.0	50.0	1	53339132081325501
18/11/2022	1610612755	110.0	0.513	0.654	0.464	28.0	41.0	1	51355110065428411
18/11/2022	1610612741	107.0	0.461	0.8	0.238	27.0	46.0	0	46141107080027460
18/11/2022	1610612745	91.0	0.337	0.844	0.214	15.0	49.0	0	33745091084415490
18/11/2022	1610612763	121.0	0.419	0.725	0.359	26.0	57.0	1	41963121072526571
18/11/2022	1610612742	127.0	0.597	0.786	0.406	29.0	44.0	1	59742127078629441
18/11/2022	1610612740	109.0	0.494	0.769	0.371	24.0	37.0	0	49440109076924370
18/11/2022	1610612762	134.0	0.56	0.667	0.516	32.0	36.0	1	56062134066732361
18/11/2022	1610612744	111.0	0.451	0.55	0.36	32.0	51.0	1	45144111055032511
18/11/2022	1610612747	128.0	0.551	0.875	0.35	29.0	44.0	1	55147128087529441
17/11/2022	1610612757	107.0	0.387	0.815	0.361	22.0	39.0	0	38757107081522390
17/11/2022	1610612758	130.0	0.578	0.917	0.4	28.0	37.0	1	57858130091728371
17/11/2022	1610612746	96.0	0.407	0.792	0.367	17.0	51.0	1	40746096079217511
16/11/2022	1610612766	113.0	0.457	0.833	0.364	29.0	44.0	0	45766113083329440
16/11/2022	1610612753	108.0	0.452	0.882	0.257	21.0	47.0	0	45253108088221470
16/11/2022	1610612764	120.0	0.512	0.882	0.5	32.0	41.0	0	51264120088232410
16/11/2022	1610612737	101.0	0.416	0.769	0.219	21.0	45.0	0	41637101076921450
16/11/2022	1610612761	112.0	0.512	0.773	0.269	23.0	42.0	1	51261112077323421
16/11/2022	1610612749	113.0	0.477	0.556	0.41	26.0	52.0	1	47749113055626521
16/11/2022	1610612740	124.0	0.506	0.875	0.515	30.0	46.0	1	50640124087530461
16/11/2022	1610612742	92.0	0.304	0.947	0.218	21.0	38.0	0	30442092094721380
16/11/2022	1610612743	103.0	0.439	0.85	0.368	18.0	42.0	0	43943103085018420
16/11/2022	1610612756	130.0	0.512	0.84	0.525	33.0	47.0	1	51256130084033471
15/11/2022	1610612740	113.0	0.473	0.75	0.474	31.0	43.0	1	47340113075031431
15/11/2022	1610612742	103.0	0.438	0.667	0.395	20.0	34.0	1	43842103066720341
15/11/2022	1610612762	111.0	0.434	0.833	0.326	29.0	49.0	0	43462111083329490
15/11/2022	1610612757	117.0	0.519	0.769	0.469	22.0	39.0	1	51957117076922391
15/11/2022	1610612758	153.0	0.596	0.84	0.488	39.0	43.0	1	59658153084039431
14/11/2022	1610612765	111.0	0.455	0.721	0.323	23.0	39.0	0	45565111072123390
14/11/2022	1610612753	105.0	0.409	0.826	0.389	23.0	48.0	0	40953105082623480
14/11/2022	1610612738	126.0	0.479	0.828	0.27	25.0	46.0	1	47938126082825461
14/11/2022	1610612748	113.0	0.458	0.88	0.455	23.0	42.0	1	45848113088023421
14/11/2022	1610612745	106.0	0.453	0.613	0.3	20.0	40.0	0	45345106061320400
14/11/2022	1610612749	106.0	0.415	0.78	0.207	21.0	46.0	0	41549106078021460
14/11/2022	1610612744	132.0	0.534	0.938	0.511	35.0	40.0	1	53444132093835401
13/11/2022	1610612752	135.0	0.495	0.879	0.323	25.0	35.0	0	49552135087925350
13/11/2022	1610612739	124.0	0.449	0.692	0.5	22.0	40.0	0	44939124069222400
13/11/2022	1610612764	102.0	0.419	0.524	0.475	26.0	47.0	1	41964102052426471
13/11/2022	1610612755	105.0	0.482	0.808	0.174	21.0	39.0	1	48255105080821391
13/11/2022	1610612741	103.0	0.494	0.81	0.273	24.0	36.0	0	49441103081024360
13/11/2022	1610612758	122.0	0.516	0.632	0.432	31.0	45.0	1	51658122063231451
13/11/2022	1610612747	116.0	0.484	0.85	0.407	25.0	45.0	1	48447116085025451
12/11/2022	1610612746	95.0	0.4	0.8	0.355	22.0	46.0	0	40046095080022460
12/11/2022	1610612764	121.0	0.5	0.85	0.444	27.0	46.0	1	50064121085027461
12/11/2022	1610612765	108.0	0.416	0.857	0.421	23.0	50.0	0	41665108085723500
12/11/2022	1610612754	118.0	0.5	0.739	0.442	33.0	51.0	1	50054118073933511
12/11/2022	1610612755	121.0	0.55	0.806	0.333	24.0	31.0	1	55055121080624311
12/11/2022	1610612748	132.0	0.527	0.857	0.39	32.0	46.0	1	52748132085732461
12/11/2022	1610612742	117.0	0.506	0.808	0.326	26.0	40.0	1	50642117080826401
12/11/2022	1610612740	119.0	0.488	0.871	0.276	28.0	36.0	1	48840119087128361
11/11/2022	1610612738	131.0	0.556	0.75	0.432	30.0	46.0	1	55638131075030461
11/11/2022	1610612753	114.0	0.524	0.867	0.455	23.0	50.0	1	52453114086723501
11/11/2022	1610612752	121.0	0.447	0.931	0.25	23.0	47.0	1	44752121093123471
11/11/2022	1610612760	132.0	0.559	0.765	0.417	31.0	44.0	1	55960132076531441
11/11/2022	1610612759	111.0	0.506	0.867	0.387	22.0	50.0	1	50659111086722501
11/11/2022	1610612763	114.0	0.5	0.704	0.212	25.0	46.0	1	50063114070425461
